Order ID,Order Date,Customer ID,Country,State,Product ID,Product Name,Sales Channel,Quantity,Price,Profit,Revenue,Region
IN-2022-10768,03/11/2021,TZ-30400,United States,New Jersey,OFF-SH-346464,Shirts,Marketplaces,2,26.13,14.93,52.26,Northeast
IN-2022-88480,24/07/2021,AP-32418,United States,New Mexico,OFF-SO-622010,Socks,Retail Stores,5,10.07,19.48,50.35,West
IN-2023-69542,06/12/2023,LK-86368,United States,New York,OFF-SP-973211,Sports Bras,Marketplaces,4,30.04,31.06,120.16,Northeast
IN-2023-20594,18/06/2023,IQ-51128,United States,North Carolina,OFF-TA-464909,Tank Tops,Retail Stores,3,20.07,16.32,60.21,South
IN-2023-39034,15/11/2023,PY-21575,United States,North Dakota,OFF-SH-532346,Shirts,Online Store,3,24.31,26.82,72.93,Midwest
IN-2023-54715,24/01/2023,SH-79643,United States,Ohio,OFF-TA-963052,Tank Tops,Online Store,3,20.63,19.53,61.89,Midwest
IN-2022-76452,10/04/2021,WP-81409,United States,Oklahoma,OFF-TA-880869,Tank Tops,Marketplaces,3,19.64,22.83,58.92,South
IN-2022-93929,26/07/2021,XK-62250,United States,Oregon,OFF-SO-592481,Socks,Online Store,1,10.02,2.83,10.02,West
IN-2023-82404,09/02/2023,HP-67092,United States,Pennsylvania,OFF-SP-293244,Sports Bras,Online Store,3,31.08,25.33,93.24,Northeast
IN-2022-20109,27/10/2021,HB-24191,United States,Rhode Island,OFF-YO-730246,Yoga Mats,Online Store,2,50.42,39.88,100.84,Northeast
IN-2022-64342,18/01/2021,HS-66693,United States,South Carolina,OFF-SP-714680,Sports Bras,Online Store,2,31.27,17.21,62.54,South
IN-2022-75806,17/03/2021,YO-81800,United States,South Dakota,OFF-TA-715473,Tank Tops,Retail Stores,2,20.92,12.77,41.84,Midwest
IN-2023-76662,09/04/2023,NK-46882,United States,Tennessee,OFF-SH-991034,Shirts,Marketplaces,3,25.14,28.64,75.42,South
IN-2022-83381,20/02/2021,JM-58862,United States,Texas,OFF-SP-544515,Sports Bras,Marketplaces,5,30.57,40.93,152.85,South
IN-2022-12207,03/04/2021,LS-37200,United States,Utah,OFF-SN-794723,Sneakers,Online Store,5,81.86,110.53,409.3,West
IN-2022-55727,03/03/2021,MO-54432,United States,Vermont,OFF-LE-250821,Leggings,Marketplaces,4,39.94,35.33,159.76,Northeast
IN-2022-15915,09/01/2021,LK-29952,United States,Virginia,OFF-TA-834815,Tank Tops,Marketplaces,5,19.4,20.24,97,South
IN-2023-37192,05/09/2023,TS-55536,United States,Washington,OFF-SN-839092,Sneakers,Retail Stores,3,78.59,63.51,235.77,West
IN-2023-47998,11/09/2023,JR-64498,United States,West Virginia,OFF-SP-289030,Sports Bras,Online Store,4,31.46,32.3,125.84,South
IN-2023-79247,29/09/2023,NA-33836,United States,Wisconsin,OFF-SO-825844,Socks,Pop-ups & Events,3,10.13,8.61,30.39,Midwest
IN-2022-32230,25/02/2021,WR-64940,United States,Wyoming,OFF-JA-436918,Jackets,Pop-ups & Events,1,102.35,23.21,102.35,West
IN-2022-11191,15/11/2021,PW-90560,United States,Alabama,OFF-SH-986758,Shirts,Marketplaces,4,26.12,37.83,104.48,South
IN-2023-85173,10/09/2023,MT-83811,United States,District of Columbia,OFF-SP-768429,Sports Bras,Retail Stores,3,29.18,26.4,87.54,West
IN-2022-93565,08/09/2021,FM-54780,United States,Arizona,OFF-SP-728814,Sports Bras,Retail Stores,3,31.5,30.78,94.5,West
IN-2022-83891,18/11/2021,OH-36622,United States,Arkansas,OFF-SN-425351,Sneakers,Marketplaces,2,80.7,62.26,161.4,South
IN-2024-50782,18/08/2024,QM-99163,United States,California,OFF-YO-238556,Yoga Mats,Marketplaces,3,51.58,31,154.74,West
IN-2024-40649,15/02/2024,LZ-87129,United States,Colorado,OFF-SP-886757,Sports Bras,Online Store,5,29.77,50.22,148.85,West
IN-2023-24291,01/09/2023,TF-58770,United States,Connecticut,OFF-BA-318156,Backpacks,Retail Stores,3,68.06,55.7,204.18,Northeast
IN-2023-41394,06/10/2023,LG-87653,United States,Delaware,OFF-JA-182025,Jackets,Retail Stores,2,98.59,41.8,197.18,South
IN-2022-96571,24/10/2021,FU-46180,United States,Florida,OFF-TA-966511,Tank Tops,Pop-ups & Events,4,19.85,20.4,79.4,South
IN-2023-84439,05/01/2023,WL-76247,United States,Georgia,OFF-JA-940287,Jackets,Pop-ups & Events,5,101.04,110.65,505.2,South
IN-2023-89750,07/04/2023,MG-29213,United States,Hawaii,OFF-LE-835129,Leggings,Pop-ups & Events,2,41.07,25.86,82.14,West
IN-2024-38353,16/04/2024,TC-28924,United States,Idaho,OFF-SP-736187,Sports Bras,Pop-ups & Events,5,30.43,37.94,152.15,West
IN-2023-43438,22/05/2023,RW-42394,United States,Illinois,OFF-JA-464592,Jackets,Marketplaces,3,102.53,86.32,307.59,Midwest
IN-2024-95398,07/11/2024,CW-36823,United States,Indiana,OFF-YO-391462,Yoga Mats,Online Store,1,52.41,11.86,52.41,Midwest
IN-2024-98832,01/03/2024,PV-95559,United States,Iowa,OFF-JA-293952,Jackets,Online Store,2,100.27,75.85,200.54,Midwest
IN-2022-38670,23/06/2021,VD-48128,United States,Kansas,OFF-LE-164163,Leggings,Retail Stores,5,41.76,55.28,208.8,Midwest
IN-2022-32344,13/04/2021,YS-87825,United States,Kentucky,OFF-BA-192380,Backpacks,Marketplaces,1,71.14,15.48,71.14,South
IN-2024-58894,26/07/2024,XU-20110,United States,Louisiana,OFF-YO-826680,Yoga Mats,Online Store,3,48.99,45.59,146.97,South
IN-2024-57049,26/06/2024,CK-19379,United States,Maine,OFF-TA-149414,Tank Tops,Pop-ups & Events,4,19.5,25.83,78,Northeast
IN-2022-79488,03/12/2021,FN-66839,United States,Maryland,OFF-LE-690225,Leggings,Pop-ups & Events,5,39.88,75.7,199.4,South
IN-2024-73114,09/04/2024,PF-60475,United States,Massachusetts,OFF-SH-285556,Shirts,Marketplaces,3,24.99,27.66,74.97,Northeast
IN-2024-62913,23/07/2024,IB-32842,United States,Michigan,OFF-SH-597070,Shirts,Marketplaces,5,25.78,48.51,128.9,Midwest
IN-2023-78025,16/02/2023,ED-18587,United States,Minnesota,OFF-BA-989054,Backpacks,Pop-ups & Events,1,72.31,20.35,72.31,Midwest
IN-2022-95754,10/01/2021,NN-69479,United States,Mississippi,OFF-SH-173046,Shirts,Marketplaces,1,24.94,6.82,24.94,South
IN-2024-18163,26/09/2024,LK-28749,United States,Missouri,OFF-BA-635692,Backpacks,Online Store,5,70.94,120.59,354.7,Midwest
IN-2022-40877,24/04/2021,NC-41255,United States,Montana,OFF-LE-316207,Leggings,Pop-ups & Events,2,40.88,19.8,81.76,West
IN-2023-18835,07/08/2023,UA-93880,United States,Nebraska,OFF-SP-621344,Sports Bras,Online Store,5,29.23,36.21,146.15,Midwest
IN-2022-78566,07/08/2021,YE-43058,United States,Nevada,OFF-SH-954999,Shirts,Online Store,3,24.66,25.88,73.98,West
IN-2022-43172,27/06/2021,RG-19704,United States,New Hampshire,OFF-BA-157425,Backpacks,Retail Stores,4,71.95,108.96,287.8,Northeast
IN-2023-90640,29/12/2023,TG-74443,United States,New Jersey,OFF-LE-143637,Leggings,Marketplaces,1,39.48,15.06,39.48,Northeast
IN-2023-52177,13/10/2023,HL-17234,United States,New Mexico,OFF-YO-211779,Yoga Mats,Pop-ups & Events,1,50.76,11.7,50.76,West
IN-2022-20106,19/02/2021,RD-99801,United States,New York,OFF-SP-438382,Sports Bras,Online Store,5,30.37,35.62,151.85,Northeast
IN-2023-70629,03/03/2023,RN-11488,United States,North Carolina,OFF-JA-303635,Jackets,Online Store,3,98.52,105.63,295.56,South
IN-2024-85757,19/01/2024,RG-79471,United States,North Dakota,OFF-JA-149773,Jackets,Pop-ups & Events,2,97.89,72.29,195.78,Midwest
IN-2024-14544,17/09/2024,SY-61828,United States,Ohio,OFF-SO-979855,Socks,Online Store,2,9.78,7.69,19.56,Midwest
IN-2022-26715,02/06/2021,YO-94372,United States,Oklahoma,OFF-SN-988008,Sneakers,Online Store,5,79.63,92.29,398.15,South
IN-2023-85956,16/03/2023,TT-26583,United States,Oregon,OFF-SH-904469,Shirts,Pop-ups & Events,1,24.5,9.19,24.5,West
IN-2023-76806,19/11/2023,EA-34751,United States,Pennsylvania,OFF-LE-357557,Leggings,Pop-ups & Events,3,38.82,41.41,116.46,Northeast
IN-2024-49292,14/01/2024,SM-78576,United States,Rhode Island,OFF-JA-499686,Jackets,Marketplaces,3,98.79,78.25,296.37,Northeast
IN-2022-60413,02/04/2021,AN-61135,United States,South Carolina,OFF-TA-795975,Tank Tops,Retail Stores,2,20.11,10.73,40.22,South
IN-2024-35166,13/10/2024,KO-62622,United States,South Dakota,OFF-JA-791282,Jackets,Online Store,5,102.46,146.22,512.3,Midwest
IN-2024-14939,22/06/2024,PX-49715,United States,Tennessee,OFF-SP-295994,Sports Bras,Marketplaces,4,30.25,32.17,121,South
IN-2024-91190,25/02/2024,TC-12072,United States,Texas,OFF-YO-665866,Yoga Mats,Retail Stores,1,52.49,11.38,52.49,South
IN-2022-14602,15/04/2021,NA-44930,United States,Utah,OFF-BA-930760,Backpacks,Retail Stores,1,71.37,15.13,71.37,West
IN-2022-61268,24/02/2021,JS-71896,United States,Vermont,OFF-LE-220827,Leggings,Marketplaces,4,39.5,51.29,158,Northeast
IN-2022-72197,28/11/2021,TV-52834,United States,Virginia,OFF-TA-523636,Tank Tops,Pop-ups & Events,2,19.57,12.02,39.14,South
IN-2023-25090,03/07/2023,FY-75542,United States,Washington,OFF-SP-361797,Sports Bras,Online Store,2,31.29,23.46,62.58,West
IN-2023-36317,11/07/2023,BD-79875,United States,West Virginia,OFF-SO-210155,Socks,Pop-ups & Events,3,9.92,5.98,29.76,South
IN-2022-58303,19/06/2021,EB-98244,United States,Wisconsin,OFF-BA-295028,Backpacks,Marketplaces,3,69.14,74.51,207.42,Midwest
IN-2023-39566,02/06/2023,PQ-49762,United States,Wyoming,OFF-TA-447196,Tank Tops,Pop-ups & Events,1,20.76,4.87,20.76,West
IN-2022-19904,03/10/2021,FB-30472,United States,Alabama,OFF-SH-318193,Shirts,Pop-ups & Events,5,24.99,37.17,124.95,South
IN-2024-98833,06/01/2024,SJ-71723,United States,District of Columbia,OFF-SH-319345,Shirts,Retail Stores,4,24.58,34.62,98.32,West
IN-2023-72021,01/02/2023,WB-15817,United States,Arizona,OFF-SN-273539,Sneakers,Marketplaces,1,82.95,18.27,82.95,West
IN-2022-75743,03/04/2021,JB-31834,United States,Arkansas,OFF-LE-635483,Leggings,Marketplaces,1,41.18,11.97,41.18,South
IN-2023-38950,13/09/2023,FW-69360,United States,California,OFF-SH-593355,Shirts,Marketplaces,5,25.71,43.47,128.55,West
IN-2023-15939,14/04/2023,UA-92202,United States,Colorado,OFF-YO-388853,Yoga Mats,Online Store,4,48.62,65.77,194.48,West
IN-2023-36844,19/01/2023,ZV-46187,United States,Connecticut,OFF-SO-143914,Socks,Retail Stores,2,10.43,7.04,20.86,Northeast
IN-2024-18380,20/01/2024,ST-64854,United States,Delaware,OFF-SH-390068,Shirts,Marketplaces,5,25.37,34.09,126.85,South
IN-2022-63553,23/05/2021,WC-84806,United States,Florida,OFF-SH-377689,Shirts,Retail Stores,2,24.9,18.37,49.8,South
IN-2024-37660,29/08/2024,MN-53123,United States,Georgia,OFF-BA-789428,Backpacks,Online Store,4,73.18,92.95,292.72,South
IN-2024-99206,14/02/2024,SN-93485,United States,Hawaii,OFF-BA-835378,Backpacks,Online Store,5,73.47,143.46,367.35,West
IN-2023-33428,07/02/2023,VL-88594,United States,Idaho,OFF-BA-869192,Backpacks,Marketplaces,2,70.19,36.06,140.38,West
IN-2024-49054,26/05/2024,VR-10922,United States,Illinois,OFF-BA-540635,Backpacks,Online Store,5,68.28,84.56,341.4,Midwest
IN-2022-93198,11/08/2021,UF-40949,United States,Indiana,OFF-SO-563728,Socks,Pop-ups & Events,4,10.32,14.29,41.28,Midwest
IN-2024-69325,25/01/2024,MX-10790,United States,Iowa,OFF-BA-820750,Backpacks,Retail Stores,1,68.13,20.28,68.13,Midwest
IN-2023-30014,23/06/2023,UK-63614,United States,Kansas,OFF-SH-657898,Shirts,Marketplaces,5,24.34,36.25,121.7,Midwest
IN-2022-96008,25/12/2021,MZ-53425,United States,Kentucky,OFF-SP-147440,Sports Bras,Online Store,3,30.08,30.76,90.24,South
IN-2024-64124,15/08/2024,KD-81409,United States,Louisiana,OFF-SH-862692,Shirts,Retail Stores,2,25.33,12.76,50.66,South
IN-2022-38697,30/04/2021,FX-30781,United States,Maine,OFF-SO-940427,Socks,Retail Stores,1,9.75,2.01,9.75,Northeast
IN-2022-76518,10/02/2021,DI-11515,United States,Maryland,OFF-BA-634839,Backpacks,Online Store,5,69.13,116.68,345.65,South
IN-2022-92685,29/03/2021,YJ-31517,United States,Massachusetts,OFF-LE-745174,Leggings,Pop-ups & Events,5,40.77,59.29,203.85,Northeast
IN-2024-87337,20/01/2024,OI-73026,United States,Michigan,OFF-YO-754974,Yoga Mats,Marketplaces,5,52.17,71.71,260.85,Midwest
IN-2023-71907,15/07/2023,ZS-15599,United States,Minnesota,OFF-SO-908442,Socks,Marketplaces,4,9.92,12.14,39.68,Midwest
IN-2023-57536,29/01/2023,HX-78326,United States,Mississippi,OFF-SN-548975,Sneakers,Online Store,3,83.88,64.89,251.64,South
IN-2024-95202,15/08/2024,TG-50706,United States,Missouri,OFF-TA-232640,Tank Tops,Pop-ups & Events,2,19.54,13.69,39.08,Midwest
IN-2024-19245,25/08/2024,XW-73061,United States,Montana,OFF-TA-464392,Tank Tops,Marketplaces,4,20.38,30.39,81.52,West
IN-2024-94476,23/08/2024,OB-59438,United States,Nebraska,OFF-TA-160062,Tank Tops,Marketplaces,3,20.96,23.45,62.88,Midwest
IN-2023-40726,27/12/2023,SI-85542,United States,Nevada,OFF-BA-175667,Backpacks,Retail Stores,4,72.9,96.57,291.6,West
IN-2023-11062,03/10/2023,ZM-27846,United States,New Hampshire,OFF-SO-462854,Socks,Pop-ups & Events,3,9.94,6.54,29.82,Northeast
IN-2022-42357,11/03/2021,ZJ-78090,United States,New Jersey,OFF-TA-752002,Tank Tops,Retail Stores,5,19.88,21.98,99.4,Northeast
IN-2023-11574,07/06/2023,RQ-51696,United States,New Mexico,OFF-SH-424314,Shirts,Pop-ups & Events,2,26.04,19.27,52.08,West
IN-2024-79352,31/01/2024,LE-20402,United States,New York,OFF-LE-178998,Leggings,Marketplaces,1,41.25,12.68,41.25,Northeast
IN-2023-44645,25/10/2023,OC-80734,United States,North Carolina,OFF-LE-815279,Leggings,Online Store,3,40.44,40.89,121.32,South
IN-2023-19803,14/12/2023,MF-99012,United States,North Dakota,OFF-SH-707994,Shirts,Online Store,5,26.21,51.36,131.05,Midwest
IN-2023-81570,04/07/2023,OX-65289,United States,Ohio,OFF-SP-275675,Sports Bras,Marketplaces,2,31.16,17.32,62.32,Midwest
IN-2022-50186,09/02/2021,AW-27115,United States,Oklahoma,OFF-BA-541366,Backpacks,Online Store,2,70.97,41.49,141.94,South
IN-2023-27423,06/01/2023,UV-98658,United States,Oregon,OFF-SN-855971,Sneakers,Pop-ups & Events,2,82.81,53.54,165.62,West
IN-2023-28319,14/08/2023,YM-99645,United States,Pennsylvania,OFF-LE-571914,Leggings,Online Store,2,40.06,16.76,80.12,Northeast
IN-2022-35758,28/10/2021,ZN-62308,United States,Rhode Island,OFF-YO-544022,Yoga Mats,Online Store,5,51.13,68.24,255.65,Northeast
IN-2024-49204,23/03/2024,JM-70097,United States,South Carolina,OFF-SP-736615,Sports Bras,Retail Stores,5,31.14,38.51,155.7,South
IN-2022-50201,28/11/2021,BF-47767,United States,South Dakota,OFF-JA-369309,Jackets,Online Store,4,100.04,117.94,400.16,Midwest
IN-2022-99334,05/11/2021,NL-23429,United States,Tennessee,OFF-LE-326390,Leggings,Retail Stores,1,40.06,15.21,40.06,South
IN-2024-48048,05/06/2024,OG-26181,United States,Texas,OFF-BA-370283,Backpacks,Pop-ups & Events,1,71.56,24.62,71.56,South
IN-2023-14391,24/11/2023,ZG-35435,United States,Utah,OFF-LE-766705,Leggings,Marketplaces,3,39.03,35.54,117.09,West
IN-2023-22059,14/12/2023,QB-75811,United States,Vermont,OFF-YO-802790,Yoga Mats,Marketplaces,1,49.95,17.03,49.95,Northeast
IN-2022-10479,01/05/2021,BG-67933,United States,Virginia,OFF-JA-703632,Jackets,Pop-ups & Events,2,99.42,63.43,198.84,South
IN-2023-65297,17/05/2023,IM-88719,United States,Washington,OFF-TA-465588,Tank Tops,Retail Stores,1,20.82,6.56,20.82,West
IN-2023-15424,19/06/2023,MP-63934,United States,West Virginia,OFF-SO-874485,Socks,Online Store,4,9.87,9.56,39.48,South
IN-2024-13467,13/05/2024,QJ-12560,United States,Wisconsin,OFF-SH-266424,Shirts,Pop-ups & Events,4,25.33,22.96,101.32,Midwest
IN-2023-74548,15/12/2023,IW-62617,United States,Wyoming,OFF-LE-859399,Leggings,Pop-ups & Events,1,41.66,12.99,41.66,West
IN-2024-94824,30/01/2024,EI-49071,United States,Alabama,OFF-SH-553582,Shirts,Pop-ups & Events,5,26.06,32.81,130.3,South
IN-2023-58440,04/07/2023,ZA-65513,United States,District of Columbia,OFF-LE-207775,Leggings,Marketplaces,4,41.41,60.66,165.64,West
IN-2023-64386,29/10/2023,JL-61272,United States,Arizona,OFF-SP-340070,Sports Bras,Retail Stores,2,29.41,22.5,58.82,West
IN-2023-33357,11/09/2023,GY-10461,United States,Arkansas,OFF-YO-494396,Yoga Mats,Marketplaces,3,51.95,57.48,155.85,South
IN-2022-20573,05/04/2021,QU-84738,United States,California,OFF-SP-659968,Sports Bras,Retail Stores,3,30.42,26.68,91.26,West
IN-2022-62542,07/09/2021,KN-42378,United States,Colorado,OFF-YO-117197,Yoga Mats,Online Store,1,51.72,16.87,51.72,West
IN-2022-84611,18/05/2021,PD-36590,United States,Connecticut,OFF-SH-390574,Shirts,Pop-ups & Events,2,26.06,11.92,52.12,Northeast
IN-2023-76141,20/03/2023,HN-35119,United States,Delaware,OFF-SP-332163,Sports Bras,Online Store,5,29.35,49.53,146.75,South
IN-2022-25607,26/12/2021,AD-52778,United States,Florida,OFF-BA-866016,Backpacks,Marketplaces,2,68.22,50.03,136.44,South
IN-2022-24843,03/11/2021,AV-99539,United States,Georgia,OFF-SH-758968,Shirts,Marketplaces,5,24.66,28.75,123.3,South
IN-2023-39479,31/05/2023,HK-38083,United States,Hawaii,OFF-JA-219730,Jackets,Pop-ups & Events,3,103.85,67.93,311.55,West
IN-2022-82122,17/07/2021,XT-79592,United States,Idaho,OFF-SH-771598,Shirts,Online Store,5,24.66,40.11,123.3,West
IN-2024-31890,21/02/2024,CK-97713,United States,Illinois,OFF-SO-489723,Socks,Marketplaces,3,9.76,7.26,29.28,Midwest
IN-2023-63735,30/04/2023,ST-36963,United States,Indiana,OFF-SN-702002,Sneakers,Retail Stores,5,77.92,121.06,389.6,Midwest
IN-2022-66503,10/09/2021,CI-15687,United States,Iowa,OFF-JA-554130,Jackets,Pop-ups & Events,2,104.31,58.04,208.62,Midwest
IN-2023-15251,14/04/2023,DY-11866,United States,Kansas,OFF-YO-752879,Yoga Mats,Retail Stores,2,48.67,21.46,97.34,Midwest
IN-2022-75844,11/01/2021,CL-93199,United States,Kentucky,OFF-SO-620459,Socks,Marketplaces,2,9.71,4.46,19.42,South
IN-2023-73916,12/06/2023,QK-84244,United States,Louisiana,OFF-TA-502948,Tank Tops,Retail Stores,5,20.72,37.15,103.6,South
IN-2022-46310,24/07/2021,NQ-65804,United States,Maine,OFF-YO-800490,Yoga Mats,Online Store,1,51.87,19.61,51.87,Northeast
IN-2023-58675,14/12/2023,NT-57220,United States,Maryland,OFF-LE-250966,Leggings,Marketplaces,1,40.22,13.46,40.22,South
IN-2024-25460,27/09/2024,JN-53930,United States,Massachusetts,OFF-SH-829141,Shirts,Marketplaces,2,25.29,15.18,50.58,Northeast
IN-2023-62797,30/07/2023,CE-43796,United States,Michigan,OFF-LE-919735,Leggings,Retail Stores,4,39.14,46.29,156.56,Midwest
IN-2023-81025,17/05/2023,FK-68714,United States,Minnesota,OFF-SP-965902,Sports Bras,Marketplaces,2,31.48,23.96,62.96,Midwest
IN-2022-73681,06/12/2021,AR-38828,United States,Mississippi,OFF-TA-200437,Tank Tops,Marketplaces,5,20.43,22.65,102.15,South
IN-2022-98666,07/11/2021,SH-56685,United States,Missouri,OFF-SH-911248,Shirts,Retail Stores,2,25.74,16.86,51.48,Midwest
IN-2023-96408,12/09/2023,PS-50502,United States,Montana,OFF-SN-837663,Sneakers,Online Store,1,83.21,19.95,83.21,West
IN-2024-51759,20/11/2024,BH-24444,United States,Nebraska,OFF-SP-699097,Sports Bras,Pop-ups & Events,5,31.14,35.05,155.7,Midwest
IN-2023-29224,07/05/2023,OU-48707,United States,Nevada,OFF-SO-581134,Socks,Pop-ups & Events,1,10.34,3.48,10.34,West
IN-2022-93864,07/10/2021,YR-23404,United States,New Hampshire,OFF-SP-457180,Sports Bras,Online Store,4,29.97,38.87,119.88,Northeast
IN-2022-85461,16/10/2021,FZ-12775,United States,New Jersey,OFF-TA-176298,Tank Tops,Online Store,3,19.82,19.9,59.46,Northeast
IN-2023-36645,02/05/2023,IO-80457,United States,New Mexico,OFF-LE-403697,Leggings,Marketplaces,5,39.07,70.52,195.35,West
IN-2023-12026,10/01/2023,HY-59028,United States,New York,OFF-LE-592047,Leggings,Marketplaces,1,39.04,9.18,39.04,Northeast
IN-2024-97016,26/03/2024,KL-50759,United States,North Carolina,OFF-SN-187940,Sneakers,Marketplaces,5,83.62,103.06,418.1,South
IN-2022-36554,28/07/2021,TT-34560,United States,North Dakota,OFF-JA-369425,Jackets,Retail Stores,1,98.91,23.67,98.91,Midwest
IN-2023-40476,19/09/2023,JY-92102,United States,Ohio,OFF-JA-252539,Jackets,Retail Stores,5,100.29,135.42,501.45,Midwest
IN-2024-69937,17/02/2024,HQ-32476,United States,Oklahoma,OFF-BA-331006,Backpacks,Pop-ups & Events,4,73.32,83.3,293.28,South
IN-2023-47543,11/06/2023,CA-70060,United States,Oregon,OFF-TA-278280,Tank Tops,Pop-ups & Events,1,20.37,5.88,20.37,West
IN-2023-48289,26/07/2023,CF-96529,United States,Pennsylvania,OFF-SO-627005,Socks,Pop-ups & Events,2,10.27,6.45,20.54,Northeast
IN-2023-20002,18/04/2023,ZK-20972,United States,Rhode Island,OFF-SN-342087,Sneakers,Online Store,1,80.54,29.14,80.54,Northeast
IN-2023-63304,06/12/2023,KZ-38065,United States,South Carolina,OFF-TA-416817,Tank Tops,Pop-ups & Events,2,20.91,9.99,41.82,South
IN-2023-80227,31/05/2023,HM-11614,United States,South Dakota,OFF-YO-735296,Yoga Mats,Online Store,4,50.77,67.53,203.08,Midwest
IN-2024-41217,04/07/2024,CB-46632,United States,Tennessee,OFF-SH-522645,Shirts,Online Store,4,24.37,19.58,97.48,South
IN-2023-79018,25/11/2023,RP-99813,United States,Texas,OFF-SN-697182,Sneakers,Online Store,3,78.17,53.47,234.51,South
IN-2023-16837,25/05/2023,WQ-65038,United States,Utah,OFF-SN-898184,Sneakers,Online Store,3,82.14,88.84,246.42,West
IN-2023-41494,11/07/2023,ZC-77511,United States,Vermont,OFF-SN-705362,Sneakers,Online Store,3,78.11,48.05,234.33,Northeast
IN-2022-33863,15/08/2021,VC-16719,United States,Virginia,OFF-TA-667077,Tank Tops,Pop-ups & Events,5,20.78,30.42,103.9,South
